#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,component,id,name,source
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.616Z,0.003333125163353621,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.616Z,0.000005817406755105438,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.616Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.616Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.616Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.616Z,0.0008726645152351496,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.616Z,0.9999996192282494,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.716Z,0.00666623509678357,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.716Z,0.000017452202544486454,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.716Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
,,3,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.716Z,0,value,pose_orientation_X,navigation,68279,pose_orientation_X,rover
,,4,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.716Z,0,value,pose_orientation_Y,navigation,73304,pose_orientation_Y,rover
,,5,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.716Z,0.0017453283658983088,value,pose_orientation_Z,navigation,58391,pose_orientation_Z,rover
,,6,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.716Z,0.9999984769132877,value,pose_orientation_W,navigation,54720,pose_orientation_W,rover
,,0,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.816Z,0.009999319647058946,value,pose_position_X,navigation,56867,pose_position_X,rover
,,1,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.816Z,0.00003490435192653732,value,pose_position_Y,navigation,90704,pose_position_Y,rover
,,2,2025-07-02T21:34:29.616Z,2025-07-02T21:39:29.616Z,2025-07-02T21:34:29.816Z,0,value,pose_position_Z,navigation,27655,pose_position_Z,rover
